,name,category,category_title,rating,price,review_count,display_address,address1,address2,address3,city,latitude,longitude,zip code,restaurant_id,price_integer
6146,Alinea,newamerican,American (New),4.5,$$$$,2387,"['1723 N Halsted St', 'Chicago, IL 60614']",1723 N Halsted St,,,Chicago,41.91341942,-87.64823847,60614,pbEiXam9YJL3neCYHGwLUA,4
6147,Little Wok,chinese,Chinese,4,$$,274,"['3144 N Broadway', 'Chicago, IL 60657']",3144 N Broadway,,,Chicago,41.939,-87.64465,60657,nD9poL2XS2nnVOJXXMqbuA,2
6148,Cuba 312,caribbean,Caribbean,4.5,$$,333,"['2054 W Roscoe St', 'Chicago, IL 60618']",2054 W Roscoe St,,,Chicago,41.943481,-87.680633,60618,qfv0rYo8rAY0DgmL18hZTg,2
6149,XOchimilco Mexican Restaurant,mexican,Mexican,5,$$,205,"['2030-32 W Montrose Ave', 'Chicago, IL 60618']",2030-32 W Montrose Ave,,,Chicago,41.9616665,-87.6802497,60618,#NAME?,2
6150,Tank Kitchen & Bar,vietnamese,Vietnamese,3.5,,7,"['4706 W Irving Park Rd', 'Chicago, IL 60641']",4706 W Irving Park Rd,,,Chicago,41.95358,-87.74597,60641,dGd1qhWgmwVDaoLQjON1Pw,
6151,Zazas Pizzeria,pizza,Pizza,5,,64,"['3037 N Clark St', 'Chicago, IL 60657']",3037 N Clark St,,,Chicago,41.93742,-87.6483,60657,Mud-L2vMAtmvWpjo3tDvaA,
6152,Wyler Road,sandwiches,Sandwiches,4,$$,258,"['3581 W Belden Ave', 'Chicago, IL 60647']",3581 W Belden Ave,,,Chicago,41.92265571,-87.71677373,60647,Swa4y3eDN--s7C91VL7frg,2
6153,Gemini,newamerican,American (New),4,$$,557,"['2075 N Lincoln Ave', 'Chicago, IL 60614']",2075 N Lincoln Ave,,,Chicago,41.9200319,-87.640967,60614,wsox4oAdEk94m6YploUfdA,2
6154,The Publican,newamerican,American (New),4,$$$,3290,"['837 W Fulton Market', 'Chicago, IL 60607']",837 W Fulton Market,,,Chicago,41.886644,-87.648765,60607,LMaoM2Ue2BR_HI9ba3JsZg,3
6155,Paulie Gee's Logan Square,pizza,Pizza,4,$$,458,"['2451 N Milwaukee Ave', 'Chicago, IL 60647']",2451 N Milwaukee Ave,,,Chicago,41.92589,-87.70168,60647,Xh5vGcoKk-SaBw7GUZDFxg,2
6156,Buona Terra,italian,Italian,4.5,$$,648,"['2535 N California Ave', 'Chicago, IL 60647']",2535 N California Ave,,,Chicago,41.92788,-87.69722,60647,jlVvQOf4YE3ZO1gMFSAdww,2
6157,River Roast,tradamerican,American (Traditional),4,$$,1033,"['315 N La Salle Dr', 'Chicago, IL 60654']",315 N La Salle Dr,,,Chicago,41.88795793,-87.63218992,60654,TC8tG6To87DUzC365njvXw,2
6158,Mother’s Ruin,newamerican,American (New),5,,3,"['2943 N Milwaukee Ave', 'Chicago, IL 60618']",2943 N Milwaukee Ave,,,Chicago,41.93495,-87.71647,60618,HaX1xkisTWetyKUkuBAzzQ,
