,name,rating,price,review_count,address,latitude,longitude,zip code,restaurant_id
1203,Sabor A Café Colombian Steakhouse,3.5,$$,239,"['2435 W Peterson Ave', 'Chicago, IL 60659']",41.990297,-87.691057,60659,epOvUIFJEm9rdlxwA1jV8A
1204,Bawarchi on Devon Restaurant,3.5,$,6,"['6406 N Oakley Ave', 'Chicago, IL 60645']",41.998,-87.6875849,60645,YX1Sb0a0RiI6qAW_2KXzKA
1205,Eastern Style Pizza,4.0,$,167,"['2911 W Touhy Ave', 'Chicago, IL 60645']",42.01176,-87.70258,60645,43eT02PoFWavFbxe4FzZzg
1206,Eng's Asian Cuisine,3.0,$,125,"['7300 N Western Ave', 'Chicago, IL 60645']",42.014447,-87.690816,60645,PibX-YlN-xzJAk213QA0eg
1207,Nueva Italy Pizzeria,4.0,$$,194,"['7109 N Clark St', 'Chicago, IL 60626']",42.0117721,-87.6743132,60626,MT2XQCqKJr3ZfLpqG2v-Vw
1208,Tiffin,3.5,$$,367,"['2536 W Devon Ave', 'Chicago, IL 60659']",41.9977664,-87.6938693,60659,oGYq7TFSrokJ_1V2qsrU7g
1209,Alexander's Restaurant,4.0,$$,221,"['6158 N Clark St', 'Chicago, IL 60660']",41.9943440413381,-87.6704196273746,60660,aS1_TQ98B4urnMJC7iLrEg
1210,Kizin Creole Restaurant,4.0,$$,62,"['2311 W Howard St', 'Chicago, IL 60645']",42.01927,-87.688076,60645,s9izQE7aCdE34Ibsox5f3Q
1211,El Pecado,4.0,$$,55,"['6922 N Clark', 'Chicago, IL 60626']",42.00728437747254,-87.67378590192344,60626,yy0eI7lD2WI_CQZG1lMQYg
1212,Taqueria & Restaurant Cd. Hidalgo,4.0,$,107,"['7104 N Clark', 'Chicago, IL 60626']",42.0116188,-87.6746529,60626,JmcaVh4YXDvZwUKH3f8v-Q
1213,Sol Cafe,4.5,$,224,"['1615 W Howard St', 'Chicago, IL 60626']",42.019272,-87.671979,60626,fisvNtPsL4wTOt88Hu_cpQ
1214,Pride Sushi and Thai,4.5,$$,242,"['2706 W Peterson Ave', 'Chicago, IL 60659']",41.99071,-87.69734,60659,Dks6hZZIjXr2S0KV7_z-wg
1215,LongHorn Steakhouse,3.5,$$,180,"['3300 W Touhy Ave', 'Skokie, IL 60076']",42.012312,-87.71213853579579,60076,djn_gwVaQ_u7LMbUy72CLA
1216,Hyderabad House,3.5,$,120,"['2225 W Devon Ave', 'Chicago, IL 60659']",41.99754,-87.68594,60659,GkQGY5nKSqyA17RjR1DIMw
1217,Pete's Grill,4.5,$,82,"['7557 N Paulina St', 'Chicago, IL 60626']",42.0191905459223,-87.6725077629089,60626,5vM7Bqy9Ymvs1YIhYSZDhA
1218,Sushi World,4.0,$$,192,"['6251 N McCormick Blvd', 'Chicago, IL 60659']",41.995065,-87.7124084089913,60659,BfBE3L4Pl4oww7OidfXlyQ
1219,La Gozadera Restaurant & Bar,3.5,$$,30,"['2542 W Peterson Ave', 'Chicago, IL 60659']",41.99072,-87.69378,60659,_akk97gxb21J5Syo2XSHrA
1220,Taza Bakery,4.5,$,152,"['3100 W Devon Ave', 'Chicago, IL 60659']",41.99768,-87.70735,60659,75JaVhKfqIJuc1SKiqUSnQ
1221,Naan on Devon & GRILL,3.0,$,66,"['2241 W Devon Ave', 'Chicago, IL 60659']",41.9975204467773,-87.6865997314453,60659,aC-a_GplOlLqTHOYaVcw-A
1222,El Pueblo,3.0,$,28,"['2212 W Devon Ave', 'Chicago, IL 60659']",41.99804,-87.6855099,60659,RPj2Pbh3TGWh3fZgbKaamQ
1223,Wolfy's,4.0,$,311,"['2734 W Peterson Ave', 'Chicago, IL 60659']",41.9907626706711,-87.6985761569792,60659,QNgAWNaFfJ13M4iNSO482g
1224,Redz Belizean Restaurant,4.0,$,47,"['7605 N Paulina St', 'Chicago, IL 60626']",42.01963,-87.67271,60626,4wBwKdDmVq0VvpS-lgyxJw
1225,Jollibee,3.0,$,360,"['3534 W Touhy Ave', 'Skokie, IL 60076']",42.01195,-87.71723,60076,i6HL_y1ZGiHbFN7HZhAf9w
1226,Mi Pueblo Two Restaurant,3.5,$,67,"['2113 W Touhy Ave', 'Chicago, IL 60645']",42.0120856,-87.6834453,60645,_HFCmNa758o7BbZfTt1k6g
1227,El Pueblito Mexican Grill #2,3.5,$,122,"['1805 Howard St', 'Evanston, IL 60202']",42.0196675400754,-87.6983091218559,60202,pJ-BSonJstS_cyBWyFATaw
1228,Den Den Restaurant,4.5,$$,133,"['6635 N Clark St', 'Chicago, IL 60626']",42.0028237,-87.6720684,60626,VLlWsbYXcJdUPn6hCdP3xA
1229,Laa Mushkila,5.0,,1,"['6258 N Clark St', 'Chicago, IL 60660']",41.99624164119067,-87.6706424253808,60660,Bk6dJBVHfejG8Ng-lURrCA
1230,Usmania Chinese Restaurant,2.5,$$,129,"['2253 W Devon Ave', 'Chicago, IL 60659']",41.9975128173828,-87.6870574951172,60659,yYNXlVz5-RTmTXY1LDoXxg
1231,Buffalo Joe's Howard Street,3.5,$,137,"['1841 W Howard St', 'Chicago, IL 60626']",42.0193560136576,-87.677432148053,60626,1zrS3TfdXGGVoVXbhvGPLw
1232,Dragon Gate,4.0,$,52,"['6528 N Clark St', 'Chicago, IL 60626']",42.0007264,-87.6716798,60626,Bwf10GRl1g7CHYE9akVIbw
1233,Ajwaah Sweets,4.5,$,42,"['2453 W Devon', 'Chicago, IL 60659']",41.9975851,-87.6920076,60659,iflJ9LFMhu2WAMg5nDWmqQ
1234,Greenhouse Inn,4.5,$$,41,"['6300 N Ridge Ave', 'Misericordia', 'Chicago, IL 60660']",41.9960493345702,-87.6763828936055,60660,YnqJKwQ8pgZYCoVXGw_juQ
1235,New York Halal Pizza,3.5,$$,38,"['2262 W Devon Ave', 'Chicago, IL 60659']",41.9979349,-87.6868175,60659,uG5C2RoVfnQejzMTfkdkmA
1236,Delhi Darbar Kabab House,3.5,$$,76,"['3010 W Devon Ave', 'Chicago, IL 60659']",41.9976149,-87.7049349,60659,bHK41hQU4f0y027-GwP8eg
1237,Burger Boy Lounge,2.5,,11,"['2657 W Devon Ave', 'Chicago, IL 60659']",41.99743,-87.69697,60659,C2Sto2qppOd6q7Ybh4eFUg
1238,Bacolod Chicken Haus,3.5,$$,120,"['6320 N Lincoln Ave', 'Ste C & D', 'Chicago, IL 60659']",41.9961842,-87.7171328,60659,CfAjS4WAY7n6NDp96k96Bw
1239,Rocky's Tacos,3.5,$,173,"['7043 N Clark St', 'Chicago, IL 60626']",42.010370595551,-87.674093593863,60626,XLDQKw0ge95VLQsmHwOWYg
1240,Udupi Palace Restaurant,3.5,$$,391,"['2543 W Devon Ave', 'Chicago, IL 60659']",41.99739,-87.69398,60659,smLd2mr0Wn7KSOVZNFLC3g
1241,Capt'n Nemo's Sandwiches & Soups,4.0,$,71,"['7367 N Clark St', 'Chicago, IL 60626']",42.015804031485,-87.674991307311,60626,amuJlHdcvTRlt_1aaRy3sQ
1242,Tasty Sub,3.0,$,23,"['2001 W Howard St', 'Chicago, IL 60645']",42.0193269556763,-87.6806301,60645,OEKJCA3uuJh7zfEFpC8tgg
1243,China Spring,3.5,$,25,"['7005 N Clark St', 'Chicago, IL 60626']",42.0092634,-87.6738395,60626,QDJRT2MYWPPK3EwgBBCBcg
1244,Usmania Fine Dining,3.0,$$,283,"['2244 W Devon Ave', 'Chicago, IL 60659']",41.9980163574219,-87.6867980957031,60659,6zPBbo7W_KPAWdNa-8m6rg
1245,Good To Go,3.5,$$,286,"['711 Howard St', 'Evanston, IL 60202']",42.019686,-87.681068,60202,h8aLG45IpDvx-3WI8qdZbA
1246,Hotspot Grill,4.0,$,22,"['1632 W Howard St', 'Chicago, IL 60626']",42.01954,-87.67221,60626,nLU5jV-Qbjes47_Yt_uO1w
1247,Steak ’n Shake,2.5,$,215,"['2209 Oakton St', 'Evanston, IL 60202']",42.0267814,-87.7068467438221,60202,hMSGI66v_T4CjFW9lPyXdA
1248,Su Taqueria El Rey Del Taco y Sus Mariscos,3.5,$$,119,"['7138 N Clark St', 'Chicago, IL 60626']",42.0123832,-87.674933,60626,tgVKdmfWghl13gSBFOqxcw
1249,Siam Pasta,3.5,$,105,"['7416 N Western Ave', 'Chicago, IL 60645']",42.01643,-87.69059,60645,S43ziNmMLBei4DnaeLrgJA
