,name,category,category_title,rating,price,review_count,display_address,address1,address2,address3,city,latitude,longitude,zip code,restaurant_id,price_integer
1425,Taqueria El Dorado 2,mexican,Mexican,4.5,,10,"['3246 W Lawrence Ave', 'Chicago, IL 60625']",3246 W Lawrence Ave,,,Chicago,41.9685451575113,-87.71037,60625,7RqvAB7jAfWcVSBGz7F_dw,
1426,Sushi World,japanese,Japanese,4.0,$$,192,"['6251 N McCormick Blvd', 'Chicago, IL 60659']",6251 N McCormick Blvd,,,Chicago,41.995065,-87.7124084089913,60659,BfBE3L4Pl4oww7OidfXlyQ,2.0
1427,Bamyan Kabob,halal,Halal,4.0,,39,"['5701 N California Ave', 'Chicago, IL 60659']",5701 N California Ave,,,Chicago,41.98509,-87.699,60659,qlcyGpMJVBYyxx5Y9wfOLA,
1428,Cookies & Carnitas,pizza,Pizza,4.0,$$,379,"['5940 N Broadway St', 'Chicago, IL 60660']",5940 N Broadway St,,,Chicago,41.99030604065494,-87.6604612,60660,WgKaikMqCrevF8jXyTZ_mg,2.0
1429,Sabor A Gloria,colombian,Colombian,4.5,,25,"['4208 N Milwaukee', 'Chicago, IL 60641']",4208 N Milwaukee,,,Chicago,41.95723,-87.75194,60641,YEhIa3nxd9HWXISTjRYR5w,
1430,Herb,thai,Thai,4.5,$$$,277,"['5424 N Broadway St', 'Chicago, IL 60640']",5424 N Broadway St,,,Chicago,41.98092697848483,-87.6602332560769,60640,hbFDXHPMSJld7mSvh0syxQ,3.0
1431,Top Middle Eastern Restaurant,mideastern,Middle Eastern,5.0,,1,"['5750 N California', 'Chicago, IL 60659']",5750 N California,,,Chicago,41.986404445281785,-87.6996121706402,60659,ovfS11xCmd1ROFUnIo7cSQ,
1432,Makki Fast Food & Grill,hotdogs,Fast Food,4.0,$,61,"['4702 N Kimball Ave', 'Chicago, IL 60625']",4702 N Kimball Ave,,,Chicago,41.9667479,-87.7134823,60625,xMGDVTsgZ2LYoi5aTDYeeA,1.0
1433,Cozy Corner Restaurant & Pancake House,burgers,Burgers,4.0,$$,205,"['6349 N Clark St', 'Chicago, IL 60660']",6349 N Clark St,,,Chicago,41.9979006201254,-87.6702359381152,60660,wKALRxtQGYY6n6ZCdvOfYw,2.0
1434,A Taste Of Heaven,bakeries,Bakeries,4.0,$$,742,"['5401 N Clark St', 'Chicago, IL 60640']",5401 N Clark St,,,Chicago,41.9799884,-87.6681389,60640,srHMBV3D01hjXfoFDDJx6w,2.0
1435,Zahid Nihari,indpak,Indian,4.5,,4,"['2307 W Devon Ave', 'Chicago, IL 60659']",2307 W Devon Ave,,,Chicago,41.997569,-87.687828,60659,toSVsyRUHSqaaH4RuDWChg,
1436,Cafe Utjeha,breakfast_brunch,Breakfast & Brunch,3.5,$,17,"['5350 N Lincoln Ave', 'Chicago, IL 60625']",5350 N Lincoln Ave,,,Chicago,41.97922,-87.69299,60625,JDUamCpbXHvE6eZ9igQQHQ,1.0
1437,Tacos El Campeon,tacos,Tacos,4.5,,5,"['5848 N Lincoln Ave', 'Chicago, IL 60659']",5848 N Lincoln Ave,,,Chicago,41.98761,-87.70328,60659,Humc9O55udbaQDbrcFtgaw,
1438,Ali's Nihari & BBQ,indpak,Indian,4.0,,12,"['2548 W Devon Ave', 'Chicago, IL 60659']",2548 W Devon Ave,,,Chicago,41.99792,-87.69433,60659,zxO01074iP3tpcmp1ctP0g,
1439,Edgewater Beach Cafe,french,French,4.0,$$,59,"['5545 N Sheridan Rd', 'Chicago, IL 60640']",5545 N Sheridan Rd,,,Chicago,41.983339,-87.654353,60640,1T3TC822ybSbTa6kNmVhXA,2.0
1440,Shibam Restaurant,halal,Halal,4.0,$$,223,"['4807 N Elston Ave', 'Chicago, IL 60630']",4807 N Elston Ave,,,Chicago,41.968302,-87.740308,60630,9jZug9qvOZtJ90X2uf8zcQ,2.0
1441,Pizzeria Aroma,pizza,Pizza,4.0,$$,356,"['5350 N Broadway', 'Chicago, IL 60640']",5350 N Broadway,,,Chicago,41.97963,-87.66035,60640,PVP1URyHLEqXDP4xa_JXbA,2.0
1442,Svea,breakfast_brunch,Breakfast & Brunch,4.0,$,304,"['5236 N Clark St', 'Chicago, IL 60640']",5236 N Clark St,,,Chicago,41.9772338867188,-87.6687622070312,60640,1xmqU6rr5Kl5tzEEebsBSQ,1.0
1443,Anmol Restaurant - Chicago,pakistani,Pakistani,4.0,$$,283,"['2858 W Devon Ave', 'Chicago, IL 60659']",2858 W Devon Ave,,,Chicago,41.99779,-87.70191,60659,vWC4wd1bYO2e-6WvN94M0g,2.0
1444,George's Deep Dish,pizza,Pizza,4.5,,37,"['6221 N Clark St', 'Chicago, IL 60660']",6221 N Clark St,,,Chicago,41.99511400657734,-87.66992326198778,60660,SfdVB49c964ds2UIl3PI4Q,
1445,Mee Mah Restaurant,chinese,Chinese,3.5,$$,176,"['4032 W Peterson Ave', 'Chicago, IL 60646']",4032 W Peterson Ave,,,Chicago,41.990436,-87.73027,60646,tf95j1pb4Khcv-B4pGW_sQ,2.0
1446,Blowfish Contemporary Sushi,sushi,Sushi Bars,4.5,$$,471,"['1131 W Bryn Mawr Ave', 'Chicago, IL 60660']",1131 W Bryn Mawr Ave,,,Chicago,41.9836004823446,-87.6593112945557,60660,xTu2kHPjSHKvyQNos6E1qw,2.0
1447,Rainbow Cuisine,thai,Thai,4.0,$,145,"['4825 N Western Ave', 'Chicago, IL 60625']",4825 N Western Ave,,,Chicago,41.969451,-87.688502,60625,5Pm9NQdrQVwHxz6WZr8yQg,1.0
1448,The Waterfront Cafe,sandwiches,Sandwiches,3.5,$$,326,"['6219 N Sheridan Rd', 'Chicago, IL 60660']",6219 N Sheridan Rd,,,Chicago,41.9952675145273,-87.6548249906408,60660,HtUglXq3jVC1JiuKfwNA8Q,2.0
1449,House of Biryani,indpak,Indian,3.5,,43,"['2306 W Devon Ave', 'Chicago, IL 60659']",2306 W Devon Ave,,,Chicago,41.998,-87.68781,60659,vQq4idFCND_7jLG2-P4zPQ,
1450,Los Flacos,mexican,Mexican,4.0,$,62,"['3818 W Lawrence Ave', 'Chicago, IL 60625']",3818 W Lawrence Ave,,,Chicago,41.9685047,-87.7239459,60625,--li1INYTksr8rYmhP_wqQ,1.0
1451,Quick Bite Carry Outs,burgers,Burgers,4.0,$,88,"['5155 N Western Ave', 'Chicago, IL 60625']",5155 N Western Ave,,,Chicago,41.97567,-87.68876,60625,RvVO_wNbmMiQ-i0FcB6euA,1.0
1452,El Rey De La Costa,seafood,Seafood,4.0,,8,"['3548 W Lawrance Ave', 'Chicago, IL 60625']",3548 W Lawrance Ave,,,Chicago,41.96862,-87.71777,60625,gFFhmihH9f2k9eVK-8h9Kw,
1453,Nebeb,african,African,5.0,,17,"['5846 N Broadway', 'Chicago, IL 60660']",5846 N Broadway,,,Chicago,41.98831,-87.66044,60660,Jb-xosHBozPWVhArFQrA9A,
1454,Junebug Café,coffee,Coffee & Tea,5.0,,68,"['4944 W Irving Park Rd', 'Chicago, IL 60641']",4944 W Irving Park Rd,,,Chicago,41.953435,-87.75171667,60641,-rPVLHP6BpZk4Zqz5yzRiA,
1455,Sergio's Taqueria & Pizza,mexican,Mexican,3.5,$,77,"['3253 W Bryn Mawr Ave', 'Chicago, IL 60659']",3253 W Bryn Mawr Ave,,,Chicago,41.9829,-87.71094,60659,pfn7AE_gyIcnltPwxfgYkg,1.0
1456,Bia's Café Marianao,sandwiches,Sandwiches,4.5,$,129,"['4323 W Addison St', 'Chicago, IL 60641']",4323 W Addison St,,,Chicago,41.946,-87.73617,60641,pAHABLrE2cVSFPQvk_xu7Q,1.0
1457,Beans & Bagels,coffee,Coffee & Tea,3.5,$,282,"['2601 W Leland Ave', 'Chicago, IL 60625']",2601 W Leland Ave,,,Chicago,41.966695189476,-87.693904414773,60625,s6pxtDUS1iF9DxEc4SX7LQ,1.0
1458,Ben's Noodles and Rice,thai,Thai,4.0,$,397,"['1139 W Bryn Mawr Ave', 'Chicago, IL 60660']",1139 W Bryn Mawr Ave,,,Chicago,41.9835028,-87.6593878,60660,v2t3jeEBTXLyy35tVvXSeA,1.0
1459,Antojitos Pueblita,mexican,Mexican,5.0,,2,"['3737 W Lawrence Ave', 'Chicago, IL 60625']",3737 W Lawrence Ave,,,Chicago,41.9680545689538,-87.7222285419703,60625,G5VMivaJnxDAgzDZV5o0sg,
1460,Sauganash Grill,icecream,Ice Cream & Frozen Yogurt,4.5,,19,"['6005 N Sauganash Ave', 'Chicago, IL 60646']",6005 N Sauganash Ave,,,Chicago,41.99035,-87.73307,60646,_RKs1ptmkPIfHvBEK2yuUQ,
1461,CFA Clubhouse,pizza,Pizza,5.0,,4,"['6122 N Clark St', 'Chicago, IL 60660']",6122 N Clark St,,,Chicago,41.9932767,-87.6703349,60660,7StPHdmTHUeTQ9HEykPzQw,
1462,Edgewater Mexican Cafe,mexican,Mexican,4.0,$$,83,"['1055 W Bryn Mawr Ave', 'Chicago, IL 60660']",1055 W Bryn Mawr Ave,,,Chicago,41.983555,-87.657811,60660,QSTxfeauCvU-nPep7CvQpg,2.0
1463,El Diamante Azul Restaurant,mexican,Mexican,4.0,$,198,"['5663 N Clark St', 'Chicago, IL 60660']",5663 N Clark St,,,Chicago,41.98515,-87.66885,60660,LHG_v_oXHVj8DY0tPa0q2A,1.0
1464,El Terco Leon,mexican,Mexican,5.0,,7,"['7152 N California Ave', 'Chicago, IL 60645']",7152 N California Ave,,,Chicago,42.01181,-87.69993,60645,vRUUn2wrM8Q1lYmbBIzkfA,
